Region ID,Region Name,RP ID,Start Date,Station Count,Retail Average
8723,"ZIP - 8723",3,"06/01/2015",11,2.570818
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/27/2018",289,2.811630
8723,"ZIP - 8723",3,"03/04/2021",11,2.915364
8723,"ZIP - 8723",3,"09/14/2017",11,2.740818
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/15/2018",309,2.895634
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/04/2014",306,3.128248
8724,"ZIP - 8724",3,"06/09/2010",5,2.563000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/24/2018",303,2.646888
8723,"ZIP - 8723",3,"01/30/2012",11,3.378091
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/20/2012",313,3.336380
8724,"ZIP - 8724",3,"11/20/2018",6,2.802333
8723,"ZIP - 8723",3,"05/10/2019",12,2.940667
8724,"ZIP - 8724",3,"11/13/2019",5,2.767000
8723,"ZIP - 8723",3,"03/12/2017",10,2.301000
8724,"ZIP - 8724",3,"03/27/2019",6,2.869000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/30/2014",310,3.501387
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/10/2018",294,2.963932
8723,"ZIP - 8723",3,"09/24/2013",11,3.395364
8724,"ZIP - 8724",3,"08/04/2012",6,3.542333
8724,"ZIP - 8724",3,"09/17/2017",7,2.833286
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"11/17/2017",318,2.586893
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/14/2012",308,3.477571
8723,"ZIP - 8723",3,"07/01/2016",11,2.077182
8724,"ZIP - 8724",3,"07/16/2018",6,3.075667
8724,"ZIP - 8724",3,"04/07/2011",6,3.545667
8724,"ZIP - 8724",3,"11/24/2011",6,3.282333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/20/2018",311,2.884434
8723,"ZIP - 8723",3,"09/25/2011",8,3.349000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/23/2014",302,3.261020
8724,"ZIP - 8724",3,"08/12/2011",6,3.589000
8724,"ZIP - 8724",3,"03/30/2012",6,3.757333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/31/2010",249,2.609281
8723,"ZIP - 8723",3,"11/05/2016",12,2.269000
8724,"ZIP - 8724",3,"03/05/2014",6,3.435667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/22/2013",314,3.437854
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/10/2013",309,3.405699
8723,"ZIP - 8723",3,"06/05/2014",10,3.494000
8724,"ZIP - 8724",3,"05/29/2018",7,3.164714
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/27/2011",245,3.371212
8724,"ZIP - 8724",3,"12/02/2020",7,2.424714
8724,"ZIP - 8724",3,"08/19/2018",6,3.029000
8724,"ZIP - 8724",3,"12/31/2017",7,2.676143
8723,"ZIP - 8723",3,"06/05/2012",11,3.473545
8724,"ZIP - 8724",3,"12/09/2012",6,3.459000
8724,"ZIP - 8724",3,"01/22/2018",7,2.770429
8723,"ZIP - 8723",3,"09/14/2019",11,2.549909
8724,"ZIP - 8724",3,"10/14/2010",6,2.704000
8724,"ZIP - 8724",3,"01/07/2010",6,2.570667
8723,"ZIP - 8723",3,"01/29/2014",9,3.256778
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/09/2022",313,4.307339
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/10/2014",296,3.398426
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/10/2021",296,3.172615
8723,"ZIP - 8723",3,"03/28/2021",11,2.968091
8724,"ZIP - 8724",3,"05/16/2021",6,3.172333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/13/2019",305,2.940639
8724,"ZIP - 8724",3,"11/06/2014",5,2.799000
8723,"ZIP - 8723",3,"12/11/2018",12,2.388167
8723,"ZIP - 8723",3,"09/17/2019",11,2.562636
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/26/2017",316,2.383810
8724,"ZIP - 8724",3,"06/01/2017",7,2.464714
8724,"ZIP - 8724",3,"05/01/2013",5,3.397000
8723,"ZIP - 8723",3,"02/09/2016",12,1.644000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/30/2010",249,2.608920
8723,"ZIP - 8723",3,"04/19/2019",12,2.835667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/03/2021",310,2.889452
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/16/2010",212,2.749566
8724,"ZIP - 8724",3,"09/03/2013",5,3.601000
8724,"ZIP - 8724",3,"12/16/2020",7,2.469000
8724,"ZIP - 8724",3,"12/01/2012",6,3.519000
8723,"ZIP - 8723",3,"07/16/2013",11,3.584455
8724,"ZIP - 8724",3,"10/08/2017",5,2.625000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/07/2010",263,2.568087
8724,"ZIP - 8724",3,"06/08/2016",7,2.207571
8723,"ZIP - 8723",3,"04/28/2011",9,3.784556
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/13/2020",283,2.351155
8723,"ZIP - 8723",3,"05/11/2019",12,2.912333
8724,"ZIP - 8724",3,"08/31/2020",6,2.450667
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"10/11/2015",309,1.974761
8724,"ZIP - 8724",3,"11/28/2014",5,2.773000
8724,"ZIP - 8724",3,"03/12/2022",8,4.351500
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/29/2013",290,3.376345
8724,"ZIP - 8724",3,"06/30/2014",4,3.651500
8724,"ZIP - 8724",3,"04/06/2015",6,2.239000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/01/2018",301,2.889465
8723,"ZIP - 8723",3,"11/19/2020",11,2.306273
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/03/2017",311,2.439482
8724,"ZIP - 8724",3,"01/07/2021",7,2.579000
8723,"ZIP - 8723",3,"11/15/2014",10,2.717000
8724,"ZIP - 8724",3,"05/15/2014",5,3.577000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/02/2021",314,3.220178
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/01/2016",312,2.149705
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/17/2011",264,3.677598
8723,"ZIP - 8723",3,"04/21/2012",8,3.795250
8723,"ZIP - 8723",3,"01/26/2013",10,3.342000
8723,"ZIP - 8723",3,"08/03/2014",8,3.369000
8724,"ZIP - 8724",3,"06/09/2012",6,3.384000
8723,"ZIP - 8723",3,"05/06/2020",11,1.989909
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/09/2010",266,2.913398
8723,"ZIP - 8723",3,"06/17/2016",12,2.119833
8723,"ZIP - 8723",3,"11/22/2013",10,3.208000
8724,"ZIP - 8724",3,"03/15/2015",6,2.294000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/30/2021",307,2.951736
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/24/2016",243,1.708753
8724,"ZIP - 8724",3,"10/30/2015",5,2.003000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"09/19/2019",302,2.601119
8723,"ZIP - 8723",3,"10/24/2016",11,2.034455
8724,"ZIP - 8724",3,"03/07/2016",6,1.609000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/17/2014",310,3.519355
8723,"ZIP - 8723",3,"09/19/2012",12,3.832333
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/02/2018",314,2.586962
8723,"ZIP - 8723",3,"03/11/2011",9,3.360111
8724,"ZIP - 8724",3,"04/22/2021",6,3.019000
8723,"ZIP - 8723",3,"01/23/2022",11,3.378091
8723,"ZIP - 8723",3,"02/22/2014",9,3.391222
8724,"ZIP - 8724",3,"05/31/2020",5,2.135000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/11/2015",314,2.585115
8724,"ZIP - 8724",3,"07/29/2022",8,4.494000
8724,"ZIP - 8724",3,"09/16/2022",8,3.527750
8723,"ZIP - 8723",3,"03/19/2012",11,3.639909
8723,"ZIP - 8723",3,"06/04/2021",11,3.100818
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/04/2015",318,2.274503
8723,"ZIP - 8723",3,"09/21/2018",12,2.869000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/01/2017",319,2.427339
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/17/2010",187,2.617449
8724,"ZIP - 8724",3,"10/07/2020",6,2.404000
8723,"ZIP - 8723",3,"12/22/2012",8,3.342750
8723,"ZIP - 8723",3,"10/11/2021",12,3.284833
8723,"ZIP - 8723",3,"04/01/2020",11,2.189909
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/10/2017",318,2.334440
8724,"ZIP - 8724",3,"10/16/2012",6,3.802333
8724,"ZIP - 8724",3,"01/10/2012",6,3.294000
8724,"ZIP - 8724",3,"11/16/2016",7,2.267571
8723,"ZIP - 8723",3,"09/30/2010",4,2.454000
8724,"ZIP - 8724",3,"12/15/2013",6,3.347333
8724,"ZIP - 8724",3,"09/21/2014",5,3.227000
8724,"ZIP - 8724",3,"03/29/2021",7,3.059000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"02/23/2021",312,2.807429
8724,"ZIP - 8724",3,"01/01/2022",7,3.339000
8724,"ZIP - 8724",3,"05/10/2022",7,4.549000
8723,"ZIP - 8723",3,"10/16/2013",10,3.241000
8724,"ZIP - 8724",3,"05/18/2012",6,3.535667
8723,"ZIP - 8723",3,"08/15/2012",9,3.669000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"05/28/2012",269,3.541156
8723,"ZIP - 8723",3,"11/11/2011",9,3.269000
8724,"ZIP - 8724",3,"04/23/2014",5,3.543000
8723,"ZIP - 8723",3,"02/07/2021",9,2.654556
8723,"ZIP - 8723",3,"06/21/2020",11,2.169909
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/01/2015",321,2.498657
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/08/2018",311,2.935720
8723,"ZIP - 8723",3,"09/18/2014",10,3.183000
8723,"ZIP - 8723",3,"06/25/2015",11,2.607182
8724,"ZIP - 8724",3,"11/05/2019",6,2.745667
8723,"ZIP - 8723",3,"01/07/2012",11,3.280818
8724,"ZIP - 8724",3,"10/28/2020",6,2.405667
8723,"ZIP - 8723",3,"07/15/2018",11,2.944455
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"07/17/2020",307,2.207697
8723,"ZIP - 8723",3,"08/02/2021",12,3.224000
8723,"ZIP - 8723",3,"01/25/2015",9,1.873444
8723,"ZIP - 8723",3,"06/16/2021",10,3.119000
8724,"ZIP - 8724",3,"02/19/2017",6,2.430667
8724,"ZIP - 8724",3,"03/14/2022",8,4.331500
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"03/10/2020",304,2.434757
8724,"ZIP - 8724",3,"01/22/2022",8,3.396500
8724,"ZIP - 8724",3,"09/09/2010",5,2.459000
8724,"ZIP - 8724",3,"01/16/2011",5,3.015000
8724,"ZIP - 8724",3,"05/31/2022",7,4.859000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/27/2013",321,3.387692
8724,"ZIP - 8724",3,"01/09/2016",5,1.867000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/09/2010",255,2.576647
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/15/2016",308,2.332539
8724,"ZIP - 8724",3,"11/22/2020",7,2.347571
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/26/2019",304,2.651336
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"06/01/2020",302,2.061318
8724,"ZIP - 8724",3,"07/09/2021",6,3.280667
8723,"ZIP - 8723",3,"03/26/2019",11,2.691727
8723,"ZIP - 8723",3,"02/28/2017",9,2.317889
8723,"ZIP - 8723",3,"07/12/2016",11,2.002636
8724,"ZIP - 8724",3,"06/21/2018",6,3.072333
8723,"ZIP - 8723",3,"02/25/2022",12,3.682333
8723,"ZIP - 8723",3,"10/13/2010",7,2.651857
8723,"ZIP - 8723",3,"08/02/2019",12,2.761500
8724,"ZIP - 8724",3,"03/09/2018",7,2.756143
8724,"ZIP - 8724",3,"12/14/2018",6,2.679000
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"04/19/2019",308,2.844195
8724,"ZIP - 8724",3,"09/27/2011",6,3.394000
8723,"ZIP - 8723",3,"02/19/2013",10,3.631000
8724,"ZIP - 8724",3,"02/12/2018",7,2.817571
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/02/2022",285,3.389105
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"12/08/2015",319,1.950787
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"01/05/2013",283,3.368894
8723,"ZIP - 8723",3,"06/06/2010",7,2.567571
8723,"ZIP - 8723",3,"12/09/2021",11,3.412636
805190,"MSA-5190 Monmouth-Ocean, Nj",3,"08/26/2021",318,3.208560
8723,"ZIP - 8723",3,"03/05/2016",12,1.562333
8724,"ZIP - 8724",3,"07/16/2020",6,2.420667
